time,V_adc_value,V_actual_value,H_adc_value,H_actual_value
0.0,-6,-0.0234375,0,0.0
0.02,5,0.01953125,0,0.0
0.03,7,0.02734375,-1,-0.00390625
0.05,-1,-0.00390625,-1,-0.00390625
0.07,1,0.00390625,0,0.0
0.09,-2,-0.0078125,0,0.0
0.11,-2,-0.0078125,0,0.0
0.13,-1,-0.00390625,0,0.0
0.15,-5,-0.01953125,0,0.0
0.17,-3,-0.01171875,0,0.0
0.18,-2,-0.0078125,-1,-0.00390625
0.2,0,0.0,-1,-0.00390625
0.22,-2,-0.0078125,0,0.0
0.24,-1,-0.00390625,0,0.0
0.26,-3,-0.01171875,-1,-0.00390625
0.28,-4,-0.015625,0,0.0
0.3,-2,-0.0078125,-1,-0.00390625
0.31,0,0.0,-1,-0.00390625
0.33,1,0.00390625,0,0.0
0.35,-5,-0.01953125,-2,-0.0078125
0.37,-1,-0.00390625,-1,-0.00390625
0.39,-24,-0.09375,0,0.0
0.41,54,0.2109375,0,0.0
0.43,-21,-0.08203125,-1,-0.00390625
0.45,-27,-0.10546875,3,0.01171875
0.46,3,0.01171875,3,0.01171875
0.48,12,0.046875,1,0.00390625
0.5,2,0.0078125,0,0.0
0.52,-7,-0.02734375,0,0.0
0.54,-3,-0.01171875,0,0.0
0.56,2,0.0078125,0,0.0
0.58,-1,-0.00390625,0,0.0
0.59,-4,-0.015625,-1,-0.00390625
0.61,-2,-0.0078125,0,0.0
0.63,2,0.0078125,0,0.0
0.65,-3,-0.01171875,-1,-0.00390625
0.67,2,0.0078125,0,0.0
0.69,-1,-0.00390625,-1,-0.00390625
0.71,-4,-0.015625,0,0.0
0.72,-2,-0.0078125,0,0.0
0.74,0,0.0,0,0.0
0.76,1,0.00390625,0,0.0
0.78,-2,-0.0078125,-1,-0.00390625
0.8,-4,-0.015625,0,0.0
0.82,-6,-0.0234375,-1,-0.00390625
0.84,-1,-0.00390625,0,0.0
0.85,1,0.00390625,0,0.0
0.87,-1,-0.00390625,0,0.0
0.89,-3,-0.01171875,-1,-0.00390625
0.91,-2,-0.0078125,-1,-0.00390625
0.93,0,0.0,0,0.0
0.95,4,0.015625,0,0.0
0.97,0,0.0,0,0.0
0.98,-3,-0.01171875,-1,-0.00390625
1.0,-4,-0.015625,0,0.0
1.02,-2,-0.0078125,-1,-0.00390625
1.04,-21,-0.08203125,-2,-0.0078125
1.06,18,0.07031250000000001,0,0.0
1.08,18,0.07031250000000001,-1,-0.00390625
1.1,1,0.00390625,0,0.0
1.11,-14,-0.0546875,-1,-0.00390625
1.13,-15,-0.05859375,-1,-0.00390625
1.15,-4,-0.015625,0,0.0
1.17,5,0.01953125,-1,-0.00390625
1.19,2,0.0078125,-1,-0.00390625
1.21,3,0.01171875,-1,-0.00390625
1.23,0,0.0,0,0.0
1.24,-1,-0.00390625,0,0.0
1.26,-3,-0.01171875,0,0.0
1.28,-1,-0.00390625,0,0.0
1.3,-2,-0.0078125,0,0.0
1.32,-1,-0.00390625,-1,-0.00390625
1.34,-1,-0.00390625,-1,-0.00390625
1.36,-5,-0.01953125,0,0.0
1.37,-3,-0.01171875,0,0.0
1.39,-3,-0.01171875,-1,-0.00390625
1.41,-1,-0.00390625,-1,-0.00390625
1.43,-1,-0.00390625,0,0.0
1.45,-3,-0.01171875,-1,-0.00390625
1.47,-1,-0.00390625,0,0.0
1.49,-1,-0.00390625,-1,-0.00390625
1.5,0,0.0,0,0.0
1.52,1,0.00390625,0,0.0
1.54,-1,-0.00390625,0,0.0
1.56,-5,-0.01953125,1,0.00390625
1.58,-32,-0.125,0,0.0
1.6,27,0.10546875,4,0.015625
1.62,51,0.19921875000000003,3,0.01171875
1.63,-11,-0.04296875,2,0.0078125
1.65,-49,-0.19140625,1,0.00390625
1.67,-5,-0.01953125,-2,-0.0078125
1.69,12,0.046875,-2,-0.0078125
1.71,5,0.01953125,-2,-0.0078125
1.73,-2,-0.0078125,0,0.0
1.75,-6,-0.0234375,0,0.0
1.77,1,0.00390625,-1,-0.00390625
1.78,-1,-0.00390625,0,0.0
1.8,-4,-0.015625,0,0.0
1.82,-4,-0.015625,-1,-0.00390625
1.84,-5,-0.01953125,-1,-0.00390625
1.86,1,0.00390625,0,0.0
1.88,0,0.0,0,0.0
1.9,-1,-0.00390625,0,0.0
1.91,0,0.0,-1,-0.00390625
1.93,-3,-0.01171875,-1,-0.00390625
1.95,-3,-0.01171875,-1,-0.00390625
1.97,-6,-0.0234375,0,0.0
1.99,-1,-0.00390625,0,0.0
2.01,-2,-0.0078125,0,0.0
2.03,1,0.00390625,-1,-0.00390625
2.04,1,0.00390625,-1,-0.00390625
2.06,2,0.0078125,-2,-0.0078125
2.08,-11,-0.04296875,2,0.0078125
2.1,-68,-0.265625,4,0.015625
2.12,64,0.25,-8,-0.03125
2.14,-10,-0.0390625,-9,-0.03515625000000001
2.16,-32,-0.125,-7,-0.02734375
2.17,17,0.06640625,-4,-0.015625
2.19,-38,-0.1484375,-4,-0.015625
2.21,-25,-0.09765625,-3,-0.01171875
2.23,18,0.07031250000000001,-3,-0.01171875
2.25,28,0.109375,-1,-0.00390625
2.27,5,0.01953125,-1,-0.00390625
2.29,-4,-0.015625,0,0.0
2.3,-8,-0.03125,0,0.0
2.32,-3,-0.01171875,-1,-0.00390625
2.34,-5,-0.01953125,0,0.0
2.36,-4,-0.015625,0,0.0
2.38,-9,-0.03515625000000001,0,0.0
2.4,-3,-0.01171875,0,0.0
2.42,-2,-0.0078125,-1,-0.00390625
2.43,1,0.00390625,-1,-0.00390625
2.45,0,0.0,0,0.0
2.47,-1,-0.00390625,-1,-0.00390625
2.49,0,0.0,0,0.0
2.51,1,0.00390625,0,0.0
2.53,2,0.0078125,0,0.0
2.55,-5,-0.01953125,0,0.0
2.56,-8,-0.03125,-1,-0.00390625
2.58,3,0.01171875,-7,-0.02734375
2.6,8,0.03125,-10,-0.0390625
2.62,0,0.0,-6,-0.0234375
2.64,-11,-0.04296875,-5,-0.01953125
2.66,0,0.0,-4,-0.015625
2.68,45,0.17578125,3,0.01171875
2.69,2,0.0078125,1,0.00390625
2.71,-9,-0.03515625000000001,1,0.00390625
2.73,3,0.01171875,0,0.0
2.75,-36,-0.14062500000000003,-1,-0.00390625
2.77,-51,-0.19921875000000003,0,0.0
2.79,4,0.015625,-2,-0.0078125
2.81,27,0.10546875,-1,-0.00390625
2.82,18,0.07031250000000001,-1,-0.00390625
2.84,4,0.015625,-1,-0.00390625
2.86,-3,-0.01171875,-2,-0.0078125
2.88,-3,-0.01171875,-1,-0.00390625
2.9,-2,-0.0078125,0,0.0
2.92,-3,-0.01171875,-1,-0.00390625
2.94,-1,-0.00390625,-1,-0.00390625
2.95,-2,-0.0078125,-1,-0.00390625
2.97,-1,-0.00390625,0,0.0
2.99,-3,-0.01171875,0,0.0
