time,V_adc_value,V_actual_value,H_adc_value,H_actual_value
0.0,15,0.05859375,-1,-0.00390625
0.01,-3,-0.01171875,-1,-0.00390625
0.03,0,0.0,0,0.0
0.05,-6,-0.0234375,-1,-0.00390625
0.07,-3,-0.01171875,0,0.0
0.09,-4,-0.015625,0,0.0
0.11,-1,-0.00390625,0,0.0
0.13,-1,-0.00390625,0,0.0
0.15,-1,-0.00390625,-1,-0.00390625
0.17,2,0.0078125,-1,-0.00390625
0.18,-2,-0.0078125,0,0.0
0.2,3,0.01171875,-1,-0.00390625
0.22,1,0.00390625,0,0.0
0.24,-5,-0.01953125,0,0.0
0.26,1,0.00390625,0,0.0
0.28,3,0.01171875,1,0.00390625
0.3,-8,-0.03125,0,0.0
0.31,6,0.0234375,0,0.0
0.33,-6,-0.0234375,-1,-0.00390625
0.35,-7,-0.02734375,-1,-0.00390625
0.37,1,0.00390625,0,0.0
0.39,4,0.015625,-1,-0.00390625
0.41,-2,-0.0078125,-2,-0.0078125
0.43,-4,-0.015625,-1,-0.00390625
0.45,-2,-0.0078125,0,0.0
0.46,-4,-0.015625,-1,-0.00390625
0.48,-1,-0.00390625,0,0.0
0.5,3,0.01171875,0,0.0
0.52,-1,-0.00390625,-1,-0.00390625
0.54,-1,-0.00390625,-2,-0.0078125
0.56,0,0.0,0,0.0
0.58,2,0.0078125,0,0.0
0.59,-1,-0.00390625,-1,-0.00390625
0.61,-2,-0.0078125,0,0.0
0.63,-1,-0.00390625,-1,-0.00390625
0.65,-2,-0.0078125,-1,-0.00390625
0.67,0,0.0,0,0.0
0.69,-2,-0.0078125,0,0.0
0.71,-2,-0.0078125,-1,-0.00390625
0.72,-1,-0.00390625,-1,-0.00390625
0.74,0,0.0,-1,-0.00390625
0.76,-1,-0.00390625,-1,-0.00390625
0.78,0,0.0,0,0.0
0.8,-2,-0.0078125,-1,-0.00390625
0.82,-2,-0.0078125,0,0.0
0.84,0,0.0,-1,-0.00390625
0.85,-1,-0.00390625,-1,-0.00390625
0.87,0,0.0,0,0.0
0.89,-2,-0.0078125,-1,-0.00390625
0.91,-9,-0.03515625000000001,0,0.0
0.93,-28,-0.109375,0,0.0
0.95,23,0.08984375,0,0.0
0.97,27,0.10546875,0,0.0
0.98,3,0.01171875,0,0.0
1.0,-7,-0.02734375,0,0.0
1.02,-8,-0.03125,0,0.0
1.04,4,0.015625,0,0.0
1.06,6,0.0234375,0,0.0
1.08,-5,-0.01953125,0,0.0
1.1,-8,-0.03125,-1,-0.00390625
1.11,-3,-0.01171875,-1,-0.00390625
1.13,0,0.0,0,0.0
1.15,-1,-0.00390625,-1,-0.00390625
1.17,-1,-0.00390625,0,0.0
1.19,-1,-0.00390625,0,0.0
1.21,-1,-0.00390625,0,0.0
1.23,-3,-0.01171875,-1,-0.00390625
1.25,-1,-0.00390625,-1,-0.00390625
1.26,-1,-0.00390625,-1,-0.00390625
1.28,-2,-0.0078125,0,0.0
1.3,2,0.0078125,0,0.0
1.32,-6,-0.0234375,0,0.0
1.34,2,0.0078125,0,0.0
1.36,1,0.00390625,-1,-0.00390625
1.38,-3,-0.01171875,0,0.0
1.39,-1,-0.00390625,-1,-0.00390625
1.41,1,0.00390625,0,0.0
1.43,-3,-0.01171875,0,0.0
1.45,-3,-0.01171875,0,0.0
1.47,-1,-0.00390625,0,0.0
1.49,-13,-0.05078125000000001,-1,-0.00390625
1.51,8,0.03125,-1,-0.00390625
1.52,12,0.046875,0,0.0
1.54,-26,-0.10156250000000001,-3,-0.01171875
1.56,-6,-0.0234375,-2,-0.0078125
1.58,1,0.00390625,-1,-0.00390625
1.6,-7,-0.02734375,-1,-0.00390625
1.62,-6,-0.0234375,-1,-0.00390625
1.64,7,0.02734375,0,0.0
1.65,13,0.05078125000000001,-1,-0.00390625
1.67,2,0.0078125,-1,-0.00390625
1.69,-1,-0.00390625,0,0.0
1.71,-7,-0.02734375,-1,-0.00390625
1.73,-3,-0.01171875,0,0.0
1.75,-5,-0.01953125,0,0.0
1.77,-5,-0.01953125,0,0.0
1.79,-5,-0.01953125,0,0.0
1.8,-4,-0.015625,0,0.0
1.82,0,0.0,0,0.0
1.84,-1,-0.00390625,0,0.0
1.86,-1,-0.00390625,0,0.0
1.88,-1,-0.00390625,-1,-0.00390625
1.9,0,0.0,0,0.0
1.91,2,0.0078125,-1,-0.00390625
1.93,2,0.0078125,-1,-0.00390625
1.95,1,0.00390625,-1,-0.00390625
1.97,3,0.01171875,0,0.0
1.99,3,0.01171875,0,0.0
2.01,-2,-0.0078125,0,0.0
2.03,0,0.0,1,0.00390625
2.04,-15,-0.05859375,11,0.04296875
2.06,96,0.375,32,0.125
2.08,13,0.05078125000000001,16,0.0625
2.1,-61,-0.23828125,11,0.04296875
2.12,46,0.1796875,5,0.01953125
2.14,-36,-0.14062500000000003,3,0.01171875
2.16,-31,-0.12109375,2,0.0078125
2.18,-11,-0.04296875,-3,-0.01171875
2.19,17,0.06640625,1,0.00390625
2.21,-2,-0.0078125,1,0.00390625
2.23,17,0.06640625,0,0.0
2.25,1,0.00390625,0,0.0
2.27,-3,-0.01171875,0,0.0
2.29,-6,-0.0234375,-1,-0.00390625
2.31,-5,-0.01953125,-1,-0.00390625
2.32,-1,-0.00390625,-1,-0.00390625
2.34,1,0.00390625,0,0.0
2.36,-3,-0.01171875,0,0.0
2.38,-7,-0.02734375,0,0.0
2.4,-4,-0.015625,-1,-0.00390625
2.42,2,0.0078125,0,0.0
2.44,3,0.01171875,-1,-0.00390625
2.45,0,0.0,-1,-0.00390625
2.47,-2,-0.0078125,-1,-0.00390625
2.49,-1,-0.00390625,0,0.0
2.51,-2,-0.0078125,-1,-0.00390625
