time,V_adc_value,V_actual_value,H_adc_value,H_actual_value
0.0,-6,-0.0234375,-1,-0.00390625
0.01,7,0.02734375,-1,-0.00390625
0.04,0,0.0,0,0.0
0.06,-2,-0.0078125,-1,-0.00390625
0.08,-1,-0.00390625,-1,-0.00390625
0.1,-1,-0.00390625,-1,-0.00390625
0.11,-2,-0.0078125,-1,-0.00390625
0.13,-3,-0.01171875,0,0.0
0.15,0,0.0,0,0.0
0.17,-1,-0.00390625,0,0.0
0.19,-1,-0.00390625,-1,-0.00390625
0.21,0,0.0,-1,-0.00390625
0.23,-2,-0.0078125,0,0.0
0.25,-1,-0.00390625,-1,-0.00390625
0.26,-2,-0.0078125,0,0.0
0.28,-2,-0.0078125,-1,-0.00390625
0.3,3,0.01171875,-1,-0.00390625
0.32,-1,-0.00390625,0,0.0
0.34,-1,-0.00390625,0,0.0
0.36,0,0.0,0,0.0
0.38,1,0.00390625,0,0.0
0.4,-2,-0.0078125,0,0.0
0.41,-15,-0.05859375,-1,-0.00390625
0.43,70,0.2734375,0,0.0
0.45,3,0.01171875,0,0.0
0.47,-6,-0.0234375,1,0.00390625
0.49,-56,-0.21875,1,0.00390625
0.51,-37,-0.14453125,-5,-0.01953125
0.53,-43,-0.16796875,-3,-0.01171875
0.55,27,0.10546875,-2,-0.0078125
0.56,20,0.078125,0,0.0
0.58,8,0.03125,-1,-0.00390625
0.6,-1,-0.00390625,0,0.0
0.62,-12,-0.046875,-1,-0.00390625
0.64,-3,-0.01171875,0,0.0
0.66,-2,-0.0078125,0,0.0
0.68,-5,-0.01953125,-1,-0.00390625
0.69,-9,-0.03515625000000001,-1,-0.00390625
0.71,-6,-0.0234375,0,0.0
0.73,-2,-0.0078125,0,0.0
0.75,-2,-0.0078125,1,0.00390625
0.77,0,0.0,0,0.0
0.79,0,0.0,0,0.0
0.81,-1,-0.00390625,1,0.00390625
0.83,0,0.0,0,0.0
0.84,-3,-0.01171875,0,0.0
0.86,4,0.015625,0,0.0
0.88,5,0.01953125,0,0.0
0.9,7,0.02734375,0,0.0
0.92,4,0.015625,0,0.0
0.94,3,0.01171875,0,0.0
0.96,-2,-0.0078125,-1,-0.00390625
0.98,-377,-1.47265625,161,0.62890625
0.99,53,0.20703125,71,0.27734375000000006
1.01,-145,-0.56640625,37,0.14453125
1.03,82,0.3203125,26,0.10156250000000001
1.05,-32,-0.125,17,0.06640625
1.07,-122,-0.4765625,8,0.03125
1.09,-17,-0.06640625,5,0.01953125
1.11,21,0.08203125,1,0.00390625
1.13,25,0.09765625,0,0.0
1.14,11,0.04296875,1,0.00390625
1.16,4,0.015625,0,0.0
1.18,5,0.01953125,-1,-0.00390625
1.2,-21,-0.08203125,-1,-0.00390625
1.22,-17,-0.06640625,-1,-0.00390625
1.24,5,0.01953125,0,0.0
1.26,0,0.0,-1,-0.00390625
1.27,2,0.0078125,0,0.0
1.29,-5,-0.01953125,0,0.0
1.31,-5,-0.01953125,0,0.0
1.33,-7,-0.02734375,-1,-0.00390625
1.35,9,0.03515625000000001,-1,-0.00390625
1.37,8,0.03125,-1,-0.00390625
1.39,3,0.01171875,0,0.0
1.4,-1,-0.00390625,0,0.0
1.42,0,0.0,0,0.0
1.44,-5,-0.01953125,-1,-0.00390625
1.46,-4,-0.015625,-3,-0.01171875
1.48,-79,-0.30859375,-2,-0.0078125
1.5,90,0.3515625,-3,-0.01171875
1.52,25,0.09765625,-2,-0.0078125
1.54,-26,-0.10156250000000001,-1,-0.00390625
1.55,-26,-0.10156250000000001,1,0.00390625
1.57,-32,-0.125,1,0.00390625
1.59,-13,-0.05078125000000001,0,0.0
1.61,19,0.07421875,1,0.00390625
1.63,13,0.05078125000000001,0,0.0
1.65,9,0.03515625000000001,0,0.0
1.67,0,0.0,0,0.0
1.68,-5,-0.01953125,0,0.0
1.7,-3,-0.01171875,-1,-0.00390625
1.72,0,0.0,0,0.0
1.74,-1,-0.00390625,0,0.0
1.76,-4,-0.015625,0,0.0
1.78,0,0.0,-1,-0.00390625
1.8,-2,-0.0078125,0,0.0
1.82,-2,-0.0078125,0,0.0
1.83,-1,-0.00390625,0,0.0
1.85,-1,-0.00390625,0,0.0
1.87,0,0.0,-1,-0.00390625
1.89,-1,-0.00390625,0,0.0
1.91,1,0.00390625,0,0.0
1.93,-1,-0.00390625,0,0.0
1.95,-1,-0.00390625,0,0.0
1.96,3,0.01171875,0,0.0
1.98,0,0.0,1,0.00390625
2.0,-5,-0.01953125,-2,-0.0078125
2.02,-7,-0.02734375,-1,-0.00390625
2.04,-6,-0.0234375,-2,-0.0078125
2.06,4,0.015625,-1,-0.00390625
2.08,0,0.0,0,0.0
2.1,1,0.00390625,-1,-0.00390625
2.12,-5,-0.01953125,-1,-0.00390625
2.13,0,0.0,0,0.0
2.15,3,0.01171875,-1,-0.00390625
2.17,1,0.00390625,0,0.0
2.19,-4,-0.015625,-1,-0.00390625
2.21,-5,-0.01953125,-1,-0.00390625
2.23,-1,-0.00390625,0,0.0
2.25,0,0.0,0,0.0
2.27,0,0.0,0,0.0
2.29,-1,-0.00390625,0,0.0
2.3,-2,-0.0078125,-1,-0.00390625
2.32,-1,-0.00390625,-1,-0.00390625
2.34,-3,-0.01171875,-1,-0.00390625
2.36,-1,-0.00390625,0,0.0
2.38,2,0.0078125,0,0.0
2.4,0,0.0,0,0.0
2.42,-1,-0.00390625,-1,-0.00390625
2.44,-10,-0.0390625,0,0.0
2.45,21,0.08203125,0,0.0
2.47,-7,-0.02734375,0,0.0
2.49,12,0.046875,0,0.0
2.51,-15,-0.05859375,-1,-0.00390625
2.53,-10,-0.0390625,0,0.0
2.55,-5,-0.01953125,-1,-0.00390625
2.57,0,0.0,0,0.0
2.58,10,0.0390625,0,0.0
2.6,2,0.0078125,0,0.0
2.62,-1,-0.00390625,0,0.0
2.64,-2,-0.0078125,0,0.0
2.66,-2,-0.0078125,-1,-0.00390625
2.68,-3,-0.01171875,0,0.0
2.7,-1,-0.00390625,1,0.00390625
2.72,-2,-0.0078125,0,0.0
2.73,-1,-0.00390625,0,0.0
2.75,-3,-0.01171875,-1,-0.00390625
2.77,3,0.01171875,0,0.0
2.79,-2,-0.0078125,0,0.0
2.81,-3,-0.01171875,0,0.0
2.83,0,0.0,0,0.0
2.85,-2,-0.0078125,0,0.0
2.86,-1,-0.00390625,0,0.0
2.88,-1,-0.00390625,0,0.0
2.9,1,0.00390625,17,0.06640625
2.92,257,1.00390625,116,0.453125
2.94,-18,-0.07031250000000001,66,0.2578125
2.96,-31,-0.12109375,31,0.12109375
2.98,18,0.07031250000000001,11,0.04296875
3.0,-36,-0.14062500000000003,5,0.01953125
3.01,-2,-0.0078125,2,0.0078125
3.03,20,0.078125,0,0.0
3.05,-13,-0.05078125000000001,-1,-0.00390625
3.07,-9,-0.03515625000000001,-1,-0.00390625
3.09,-10,-0.0390625,0,0.0
3.11,1,0.00390625,0,0.0
3.13,1,0.00390625,0,0.0
3.15,-3,-0.01171875,0,0.0
3.17,-2,-0.0078125,-1,-0.00390625
3.19,-9,-0.03515625000000001,-1,-0.00390625
3.21,0,0.0,-1,-0.00390625
3.23,0,0.0,-1,-0.00390625
3.25,2,0.0078125,0,0.0
3.27,-5,-0.01953125,0,0.0
3.29,-2,-0.0078125,0,0.0
3.31,0,0.0,-1,-0.00390625
3.33,1,0.00390625,-1,-0.00390625
3.35,-1,-0.00390625,0,0.0
3.37,4,0.015625,0,0.0
3.39,6,0.0234375,1,0.00390625
3.41,-4,-0.015625,6,0.0234375
3.43,-89,-0.34765625,19,0.07421875
3.45,150,0.5859375,6,0.0234375
3.47,-53,-0.20703125,-7,-0.02734375
3.49,-51,-0.19921875000000003,2,0.0078125
3.51,-95,-0.37109375,2,0.0078125
3.53,44,0.171875,0,0.0
3.55,26,0.10156250000000001,0,0.0
3.57,17,0.06640625,1,0.00390625
3.59,4,0.015625,-1,-0.00390625
3.61,-5,-0.01953125,0,0.0
3.63,-12,-0.046875,0,0.0
3.65,-11,-0.04296875,-1,-0.00390625
3.67,1,0.00390625,0,0.0
3.69,1,0.00390625,0,0.0
3.71,-2,-0.0078125,0,0.0
3.73,0,0.0,-1,-0.00390625
3.75,-2,-0.0078125,0,0.0
