time,V_adc_value,V_actual_value,H_adc_value,H_actual_value
0.0,21,0.08203125,-2,-0.0078125
0.01,217,0.84765625,2,0.0078125
0.03,295,1.15234375,2,0.0078125
0.05,-46,-0.1796875,0,0.0
0.07,-108,-0.421875,0,0.0
0.09,-123,-0.48046875,-1,-0.00390625
0.11,-177,-0.69140625,0,0.0
0.13,-83,-0.32421875,-2,-0.0078125
0.15,-85,-0.33203125,0,0.0
0.17,73,0.28515625,0,0.0
0.19,75,0.29296875,0,0.0
0.2,40,0.15625,-1,-0.00390625
0.22,6,0.0234375,0,0.0
0.24,3,0.01171875,0,0.0
0.26,3,0.01171875,0,0.0
0.28,-1,-0.00390625,0,0.0
0.3,-1,-0.00390625,0,0.0
0.32,-1,-0.00390625,0,0.0
0.33,-2,-0.0078125,0,0.0
0.35,0,0.0,0,0.0
0.37,-35,-0.13671875,-14,-0.0546875
0.39,183,0.71484375,81,0.31640625
0.41,-194,-0.7578125,19,0.07421875
0.43,267,1.04296875,8,0.03125
0.45,1092,4.265625,6,0.0234375
0.47,-83,-0.32421875,4,0.015625
0.48,-161,-0.62890625,3,0.01171875
0.5,485,1.89453125,1,0.00390625
0.52,2280,8.906250000000002,3,0.01171875
0.54,-2206,-8.6171875,2,0.0078125
0.56,29,0.11328125,2,0.0078125
0.58,261,1.01953125,-1,-0.00390625
0.6,264,1.03125,-1,-0.00390625
0.61,147,0.57421875,-1,-0.00390625
0.63,-191,-0.74609375,5,0.01953125
0.65,-101,-0.39453125,5,0.01953125
0.67,-46,-0.1796875,10,0.0390625
0.69,32,0.125,5,0.01953125
0.71,55,0.21484375,3,0.01171875
0.73,16,0.0625,1,0.00390625
0.74,8,0.03125,0,0.0
0.76,3,0.01171875,0,0.0
0.78,-3,-0.01171875,0,0.0
0.8,-2,-0.0078125,0,0.0
0.82,2,0.0078125,0,0.0
0.84,8,0.03125,-5,-0.01953125
0.86,-108,-0.421875,-33,-0.12890625
0.87,-1056,-4.125,-96,-0.375
0.89,4,0.015625,-18,-0.07031250000000001
0.91,-353,-1.37890625,5,0.01953125
0.93,137,0.53515625,9,0.03515625000000001
0.95,228,0.890625,4,0.015625
0.97,115,0.44921875,1,0.00390625
0.99,20,0.078125,1,0.00390625
1.01,-5,-0.01953125,-1,-0.00390625
1.02,-30,-0.1171875,0,0.0
1.04,-128,-0.5,0,0.0
1.06,-211,-0.82421875,-1,-0.00390625
1.08,-91,-0.35546875,0,0.0
1.1,28,0.109375,-1,-0.00390625
1.12,56,0.21875,0,0.0
1.14,44,0.171875,0,0.0
1.15,27,0.10546875,0,0.0
1.17,20,0.078125,0,0.0
1.19,7,0.02734375,0,0.0
1.21,1,0.00390625,0,0.0
1.23,-4,-0.015625,0,0.0
1.25,-1,-0.00390625,0,0.0
1.27,-1,-0.00390625,0,0.0
