V_adc_value,V_real_value,H_adc_value,H_real_value
0,0.0,0,0.0
-1,-0.00390625,0,0.0
0,0.0,1,0.00390625
0,0.0,-1,-0.00390625
-2,-0.0078125,0,0.0
-71,-0.27734375000000006,49,0.19140625
84,0.328125,47,0.18359375
15,0.05859375,29,0.11328125
-7,-0.02734375,-9,-0.03515625000000001
-21,-0.08203125,-7,-0.02734375
49,0.19140625,4,0.015625
29,0.11328125,3,0.01171875
-18,-0.07031250000000001,0,0.0
-21,-0.08203125,-1,-0.00390625
-27,-0.10546875,1,0.00390625
-12,-0.046875,2,0.0078125
-9,-0.03515625000000001,0,0.0
0,0.0,0,0.0
3,0.01171875,1,0.00390625
8,0.03125,2,0.0078125
3,0.01171875,-1,-0.00390625
1,0.00390625,0,0.0
-1,-0.00390625,1,0.00390625
-2,-0.0078125,0,0.0
-2,-0.0078125,1,0.00390625
-2,-0.0078125,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,-5,-0.01953125
-216,-0.84375,26,0.10156250000000001
-22,-0.0859375,-21,-0.08203125
3,0.01171875,-15,-0.05859375
34,0.1328125,2,0.0078125
23,0.08984375,6,0.0234375
37,0.14453125,0,0.0
14,0.0546875,-1,-0.00390625
0,0.0,1,0.00390625
-21,-0.08203125,2,0.0078125
-43,-0.16796875,1,0.00390625
-18,-0.07031250000000001,1,0.00390625
-21,-0.08203125,0,0.0
7,0.02734375,0,0.0
8,0.03125,0,0.0
11,0.04296875,1,0.00390625
4,0.015625,0,0.0
2,0.0078125,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,1,0.00390625
-1,-0.00390625,0,0.0
0,0.0,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,0,0.0
-2,-0.0078125,-5,-0.01953125
-206,-0.8046875000000001,-204,-0.7968750000000001
48,0.1875,0,0.0
-37,-0.14453125,54,0.2109375
11,0.04296875,8,0.03125
8,0.03125,-15,-0.05859375
27,0.10546875,-3,-0.01171875
8,0.03125,5,0.01953125
5,0.01953125,3,0.01171875
-7,-0.02734375,-1,-0.00390625
-23,-0.08984375,0,0.0
-21,-0.08203125,1,0.00390625
-9,-0.03515625000000001,1,0.00390625
-6,-0.0234375,0,0.0
1,0.00390625,0,0.0
6,0.0234375,2,0.0078125
6,0.0234375,0,0.0
3,0.01171875,0,0.0
0,0.0,1,0.00390625
-1,-0.00390625,0,0.0
0,0.0,0,0.0
-1,-0.00390625,1,0.00390625
-2,-0.0078125,2,0.0078125
-2,-0.0078125,0,0.0
-27,-0.10546875,3,0.01171875
246,0.9609375,68,0.265625
-36,-0.14062500000000003,-13,-0.05078125000000001
19,0.07421875,-17,-0.06640625
1,0.00390625,5,0.01953125
8,0.03125,7,0.02734375
22,0.0859375,-2,-0.0078125
13,0.05078125000000001,-2,-0.0078125
-3,-0.01171875,1,0.00390625
-19,-0.07421875,2,0.0078125
-31,-0.12109375,0,0.0
-21,-0.08203125,0,0.0
-2,-0.0078125,1,0.00390625
-1,-0.00390625,0,0.0
5,0.01953125,0,0.0
8,0.03125,1,0.00390625
4,0.015625,1,0.00390625
0,0.0,1,0.00390625
-1,-0.00390625,1,0.00390625
-1,-0.00390625,1,0.00390625
0,0.0,0,0.0
-1,-0.00390625,0,0.0
-2,-0.0078125,0,0.0
-22,-0.0859375,96,0.375
115,0.44921875,-60,-0.234375
-133,-0.51953125,-100,-0.390625
-35,-0.13671875,37,0.14453125
28,0.109375,43,0.16796875
22,0.0859375,-24,-0.09375
2,0.0078125,-8,-0.03125
30,0.1171875,7,0.02734375
-2,-0.0078125,3,0.01171875
-7,-0.02734375,-2,-0.0078125
-17,-0.06640625,1,0.00390625
-26,-0.10156250000000001,-1,-0.00390625
-8,-0.03125,-4,-0.015625
3,0.01171875,3,0.01171875
-3,-0.01171875,0,0.0
-9,-0.03515625000000001,0,0.0
-5,-0.01953125,1,0.00390625
9,0.03515625000000001,1,0.00390625
3,0.01171875,0,0.0
2,0.0078125,1,0.00390625
1,0.00390625,0,0.0
-1,-0.00390625,0,0.0
-3,-0.01171875,0,0.0
-1,-0.00390625,0,0.0
-1,-0.00390625,2,0.0078125
-186,-0.7265625,25,0.09765625
30,0.1171875,-47,-0.18359375
-19,-0.07421875,29,0.11328125
5,0.01953125,-13,-0.05078125000000001
33,0.12890625,0,0.0
24,0.09375,1,0.00390625
8,0.03125,-2,-0.0078125
9,0.03515625000000001,0,0.0
21,0.08203125,2,0.0078125
-9,-0.03515625000000001,0,0.0
-30,-0.1171875,0,0.0
-53,-0.20703125,1,0.00390625
-16,-0.0625,0,0.0
16,0.0625,-1,-0.00390625
5,0.01953125,4,0.015625
