time,V_adc_value,V_actual_value,H_adc_value,H_actual_value
0.0,2,0.0078125,0,0.0
0.01,-1,-0.00390625,-1,-0.00390625
0.03,-1,-0.00390625,0,0.0
0.05,1,0.00390625,0,0.0
0.07,0,0.0,0,0.0
0.09,-1,-0.00390625,0,0.0
0.11,-8,-0.03125,-5,-0.01953125
0.13,345,1.3476562500000002,1,0.00390625
0.15,109,0.42578125,22,0.0859375
0.17,11,0.04296875,-58,-0.2265625
0.19,64,0.25,-35,-0.13671875
0.2,-10,-0.0390625,-27,-0.10546875
0.22,84,0.328125,-13,-0.05078125000000001
0.24,101,0.39453125,-6,-0.0234375
0.26,102,0.39843750000000006,-4,-0.015625
0.28,-7,-0.02734375,-3,-0.01171875
0.3,-76,-0.296875,-2,-0.0078125
0.32,-121,-0.47265625,2,0.0078125
0.34,-84,-0.328125,5,0.01953125
0.35,-47,-0.18359375,-1,-0.00390625
0.37,-31,-0.12109375,2,0.0078125
0.39,34,0.1328125,4,0.015625
0.41,56,0.21875,3,0.01171875
0.43,25,0.09765625,1,0.00390625
0.45,8,0.03125,0,0.0
0.47,4,0.015625,0,0.0
0.49,0,0.0,0,0.0
0.5,1,0.00390625,0,0.0
0.52,1,0.00390625,0,0.0
0.54,0,0.0,0,0.0
0.56,-1,-0.00390625,-1,-0.00390625
0.58,-1,-0.00390625,-3,-0.01171875
0.6,-394,-1.5390625,-225,-0.87890625
0.62,154,0.6015625,-42,-0.1640625
0.63,36,0.14062500000000003,-16,-0.0625
0.65,6,0.0234375,-12,-0.046875
0.67,118,0.46093750000000006,-9,-0.03515625000000001
0.69,140,0.546875,-2,-0.0078125
0.71,54,0.2109375,-2,-0.0078125
0.73,33,0.12890625,0,0.0
0.75,8,0.03125,1,0.00390625
0.76,-42,-0.1640625,0,0.0
0.78,-103,-0.40234375000000006,0,0.0
0.8,-120,-0.46875,0,0.0
0.82,-108,-0.421875,1,0.00390625
0.84,-33,-0.12890625,4,0.015625
0.86,61,0.23828125,0,0.0
0.88,61,0.23828125,0,0.0
0.89,32,0.125,0,0.0
0.91,12,0.046875,0,0.0
0.93,3,0.01171875,0,0.0
0.95,1,0.00390625,0,0.0
0.97,-1,-0.00390625,0,0.0
0.99,-2,-0.0078125,0,0.0
1.01,0,0.0,-1,-0.00390625
1.02,0,0.0,0,0.0
1.04,-1,-0.00390625,-1,-0.00390625
1.06,0,0.0,0,0.0
1.08,0,0.0,7,0.02734375
1.1,-110,-0.4296875,-56,-0.21875
1.12,591,2.30859375,123,0.48046875
1.14,-152,-0.59375,-55,-0.21484375
1.15,134,0.5234375,-32,-0.125
1.17,88,0.34375,-11,-0.04296875
1.19,168,0.65625,-4,-0.015625
1.21,38,0.1484375,-1,-0.00390625
1.23,153,0.59765625,-2,-0.0078125
1.25,-8,-0.03125,-1,-0.00390625
1.27,-82,-0.3203125,1,0.00390625
1.29,-145,-0.56640625,5,0.01953125
1.3,-133,-0.51953125,4,0.015625
1.32,-69,-0.26953125,0,0.0
1.34,-32,-0.125,13,0.05078125000000001
1.36,-4,-0.015625,17,0.06640625
1.38,67,0.26171875,8,0.03125
1.4,54,0.2109375,4,0.015625
1.42,20,0.078125,2,0.0078125
1.43,7,0.02734375,1,0.00390625
1.45,3,0.01171875,0,0.0
1.47,0,0.0,1,0.00390625
1.49,1,0.00390625,0,0.0
1.51,-1,-0.00390625,0,0.0
1.53,0,0.0,-1,-0.00390625
1.55,-1,-0.00390625,0,0.0
1.56,1,0.00390625,0,0.0
1.58,-1,-0.00390625,12,0.046875
1.6,-392,-1.53125,409,1.5976562500000002
