time,V_adc_value,V_actual_value,H_adc_value,H_actual_value
0.0,36,0.14062500000000003,-3,-0.01171875
0.02,47,0.18359375,0,0.0
0.04,46,0.1796875,3,0.01171875
0.06,23,0.08984375,1,0.00390625
0.07,8,0.03125,1,0.00390625
0.09,3,0.01171875,-1,-0.00390625
0.11,0,0.0,0,0.0
0.13,-2,-0.0078125,-1,-0.00390625
0.15,1,0.00390625,-1,-0.00390625
0.17,1,0.00390625,0,0.0
0.19,0,0.0,0,0.0
0.21,-2,-0.0078125,1,0.00390625
0.22,-133,-0.51953125,50,0.1953125
0.24,217,0.84765625,-96,-0.375
0.26,-120,-0.46875,-65,-0.25390625
0.28,115,0.44921875,-34,-0.1328125
0.3,52,0.20312500000000003,-18,-0.07031250000000001
0.32,86,0.3359375,-7,-0.02734375
0.34,104,0.40625000000000006,2,0.0078125
0.36,57,0.22265625,2,0.0078125
0.37,28,0.109375,2,0.0078125
0.39,-53,-0.20703125,1,0.00390625
0.41,-134,-0.5234375,0,0.0
0.43,-96,-0.375,-4,-0.015625
0.45,-94,-0.3671875,26,0.10156250000000001
0.47,10,0.0390625,13,0.05078125000000001
0.49,72,0.28125000000000006,8,0.03125
0.51,42,0.1640625,4,0.015625
0.53,19,0.07421875,2,0.0078125
0.54,4,0.015625,1,0.00390625
0.56,1,0.00390625,1,0.00390625
0.58,-1,-0.00390625,1,0.00390625
0.6,1,0.00390625,0,0.0
0.62,-1,-0.00390625,0,0.0
0.64,1,0.00390625,0,0.0
0.66,1,0.00390625,-1,-0.00390625
0.68,-1,-0.00390625,0,0.0
0.69,-29,-0.11328125,-62,-0.2421875
0.71,-328,-1.28125,97,0.37890625
0.73,-111,-0.43359375,17,0.06640625
0.75,-67,-0.26171875,-15,-0.05859375
0.77,115,0.44921875,-9,-0.03515625000000001
0.79,174,0.6796875000000001,-5,-0.01953125
0.81,174,0.6796875000000001,-5,-0.01953125
0.83,27,0.10546875,-5,-0.01953125
0.84,-20,-0.078125,-4,-0.015625
0.86,-13,-0.05078125000000001,-2,-0.0078125
0.88,-72,-0.28125000000000006,-1,-0.00390625
0.9,-171,-0.66796875,0,0.0
0.92,-118,-0.46093750000000006,-1,-0.00390625
0.94,-41,-0.16015625,-1,-0.00390625
0.96,43,0.16796875,0,0.0
0.98,73,0.28515625,0,0.0
0.99,38,0.1484375,0,0.0
1.01,15,0.05859375,0,0.0
1.03,5,0.01953125,0,0.0
1.05,0,0.0,0,0.0
1.07,0,0.0,-1,-0.00390625
1.09,-1,-0.00390625,0,0.0
1.11,0,0.0,0,0.0
1.13,-1,-0.00390625,0,0.0
1.15,-1,-0.00390625,-1,-0.00390625
1.16,0,0.0,-15,-0.05859375
1.18,-385,-1.50390625,43,0.16796875
1.2,-149,-0.58203125,93,0.36328125
1.22,-8,-0.03125,59,0.23046875000000003
1.24,81,0.31640625,32,0.125
1.26,176,0.6875,20,0.078125
1.28,135,0.52734375,12,0.046875
1.3,32,0.125,8,0.03125
1.31,27,0.10546875,4,0.015625
1.33,10,0.0390625,3,0.01171875
1.35,-52,-0.20312500000000003,2,0.0078125
1.37,-162,-0.6328125,0,0.0
1.39,-133,-0.51953125,-2,-0.0078125
1.41,-79,-0.30859375,6,0.0234375
1.43,28,0.109375,-1,-0.00390625
1.44,72,0.28125000000000006,-1,-0.00390625
1.46,48,0.1875,-1,-0.00390625
1.48,21,0.08203125,-1,-0.00390625
1.5,7,0.02734375,-1,-0.00390625
1.52,1,0.00390625,-1,-0.00390625
1.54,2,0.0078125,-1,-0.00390625
1.56,0,0.0,-1,-0.00390625
1.57,0,0.0,-1,-0.00390625
1.59,0,0.0,-1,-0.00390625
1.61,0,0.0,0,0.0
1.63,-2,-0.0078125,-1,-0.00390625
1.65,1,0.00390625,1,0.00390625
1.67,-670,-2.6171875,49,0.19140625
1.69,128,0.5,-17,-0.06640625
1.7,-330,-1.2890625,-17,-0.06640625
1.72,300,1.171875,-20,-0.078125
1.74,129,0.50390625,-16,-0.0625
1.76,91,0.35546875,-10,-0.0390625
1.78,70,0.2734375,-6,-0.0234375
1.8,115,0.44921875,-3,-0.01171875
1.82,-37,-0.14453125,-1,-0.00390625
1.84,-134,-0.5234375,-1,-0.00390625
1.85,-226,-0.8828125,0,0.0
1.87,-128,-0.5,-5,-0.01953125
1.89,-36,-0.14062500000000003,-3,-0.01171875
1.91,70,0.2734375,-3,-0.01171875
1.93,53,0.20703125,-3,-0.01171875
1.95,45,0.17578125,-2,-0.0078125
1.97,23,0.08984375,0,0.0
1.98,6,0.0234375,-1,-0.00390625
2.0,1,0.00390625,-1,-0.00390625
2.02,-1,-0.00390625,0,0.0
2.04,-1,-0.00390625,0,0.0
2.06,0,0.0,-1,-0.00390625
2.08,0,0.0,0,0.0
2.1,0,0.0,0,0.0
2.11,-12,-0.046875,-147,-0.57421875
2.13,387,1.51171875,52,0.20312500000000003
2.15,-52,-0.20312500000000003,-3,-0.01171875
2.17,-29,-0.11328125,-3,-0.01171875
2.19,61,0.23828125,-3,-0.01171875
2.21,80,0.3125,-4,-0.015625
2.23,115,0.44921875,3,0.01171875
2.25,32,0.125,2,0.0078125
2.26,4,0.015625,2,0.0078125
2.28,26,0.10156250000000001,2,0.0078125
2.3,-17,-0.06640625,2,0.0078125
2.32,-96,-0.375,1,0.00390625
2.34,-149,-0.58203125,-1,-0.00390625
2.36,-66,-0.2578125,-1,-0.00390625
2.38,-8,-0.03125,1,0.00390625
2.39,35,0.13671875,-5,-0.01953125
2.41,54,0.2109375,-3,-0.01171875
2.43,31,0.12109375,-2,-0.0078125
2.45,14,0.0546875,-1,-0.00390625
2.47,5,0.01953125,-1,-0.00390625
2.49,0,0.0,0,0.0
2.51,1,0.00390625,0,0.0
2.52,-1,-0.00390625,0,0.0
2.54,-3,-0.01171875,0,0.0
2.56,-2,-0.0078125,0,0.0
2.58,0,0.0,48,0.1875
2.6,-94,-0.3671875,-5,-0.01953125
2.62,31,0.12109375,51,0.19921875000000003
2.64,-8,-0.03125,12,0.046875
2.66,14,0.0546875,-4,-0.015625
2.67,135,0.52734375,-5,-0.01953125
2.69,209,0.81640625,1,0.00390625
2.71,44,0.171875,3,0.01171875
2.73,-6,-0.0234375,5,0.01953125
2.75,-39,-0.15234375,4,0.015625
2.77,-70,-0.2734375,2,0.0078125
2.79,-125,-0.48828125,0,0.0
2.8,-97,-0.37890625,0,0.0
2.82,-51,-0.19921875000000003,-4,-0.015625
2.84,15,0.05859375,-5,-0.01953125
2.86,49,0.19140625,-4,-0.015625
2.88,40,0.15625,-2,-0.0078125
2.9,19,0.07421875,-1,-0.00390625
2.92,8,0.03125,-1,-0.00390625
2.93,1,0.00390625,-1,-0.00390625
2.95,-1,-0.00390625,0,0.0
2.97,2,0.0078125,-1,-0.00390625
2.99,0,0.0,-1,-0.00390625
3.01,-1,-0.00390625,0,0.0
3.03,0,0.0,0,0.0
3.05,0,0.0,0,0.0
3.07,-25,-0.09765625,-82,-0.3203125
3.08,515,2.01171875,-21,-0.08203125
3.1,-16,-0.0625,-17,-0.06640625
3.12,-33,-0.12890625,-19,-0.07421875
