time,V_adc_value,V_actual_value,H_adc_value,H_actual_value
0.0,11,0.04296875,-11,-0.04296875
0.02,-6,-0.0234375,2,0.0078125
0.04,-61,-0.23828125,0,0.0
0.05,107,0.41796875,2,0.0078125
0.07,-36,-0.14062500000000003,-1,-0.00390625
0.1,-13,-0.05078125000000001,-2,-0.0078125
0.11,-1,-0.00390625,-1,-0.00390625
0.13,-8,-0.03125,-1,-0.00390625
0.15,0,0.0,-1,-0.00390625
0.17,-7,-0.02734375,-1,-0.00390625
0.19,4,0.015625,-1,-0.00390625
0.21,-4,-0.015625,-1,-0.00390625
0.23,-13,-0.05078125000000001,-1,-0.00390625
0.25,-9,-0.03515625000000001,0,0.0
0.27,7,0.02734375,0,0.0
0.29,-1,-0.00390625,1,0.00390625
0.3,3,0.01171875,0,0.0
0.32,-1,-0.00390625,0,0.0
0.34,0,0.0,0,0.0
0.36,-5,-0.01953125,-1,-0.00390625
0.38,-28,-0.109375,1,0.00390625
0.4,35,0.13671875,-1,-0.00390625
0.42,-11,-0.04296875,0,0.0
0.44,4,0.015625,0,0.0
0.45,6,0.0234375,-1,-0.00390625
0.47,-7,-0.02734375,0,0.0
0.49,-8,-0.03125,0,0.0
0.51,-9,-0.03515625000000001,0,0.0
0.53,-1,-0.00390625,0,0.0
0.55,2,0.0078125,0,0.0
0.57,2,0.0078125,0,0.0
0.59,0,0.0,1,0.00390625
0.6,19,0.07421875,-1,-0.00390625
0.62,-5,-0.01953125,-1,-0.00390625
0.64,-3,-0.01171875,-1,-0.00390625
0.66,2,0.0078125,-1,-0.00390625
0.68,3,0.01171875,-1,-0.00390625
0.7,3,0.01171875,0,0.0
0.72,2,0.0078125,-1,-0.00390625
0.74,-2,-0.0078125,0,0.0
0.75,-4,-0.015625,0,0.0
0.77,0,0.0,0,0.0
0.79,-1,-0.00390625,0,0.0
0.81,0,0.0,0,0.0
0.83,1,0.00390625,0,0.0
0.85,-4,-0.015625,-1,-0.00390625
0.87,-5,-0.01953125,-1,-0.00390625
0.88,-3,-0.01171875,0,0.0
0.9,-1,-0.00390625,0,0.0
0.92,-2,-0.0078125,0,0.0
0.94,-13,-0.05078125000000001,2,0.0078125
0.96,-14,-0.0546875,1,0.00390625
0.98,-28,-0.109375,1,0.00390625
1.0,19,0.07421875,0,0.0
1.01,-21,-0.08203125,0,0.0
1.03,13,0.05078125000000001,0,0.0
1.05,-1,-0.00390625,-1,-0.00390625
1.07,1,0.00390625,0,0.0
1.09,-5,-0.01953125,0,0.0
1.11,-4,-0.015625,0,0.0
1.13,-8,-0.03125,0,0.0
1.14,-7,-0.02734375,-1,-0.00390625
1.16,-4,-0.015625,1,0.00390625
1.18,3,0.01171875,0,0.0
1.2,-1,-0.00390625,-1,-0.00390625
1.22,-1,-0.00390625,1,0.00390625
1.24,-3,-0.01171875,-2,-0.0078125
1.26,4,0.015625,-1,-0.00390625
1.28,2,0.0078125,0,0.0
1.29,-5,-0.01953125,44,0.171875
1.31,-758,-2.9609375,279,1.08984375
1.33,217,0.84765625,-53,-0.20703125
1.35,-59,-0.23046875000000003,-24,-0.09375
1.37,-65,-0.25390625,-12,-0.046875
1.39,110,0.4296875,-9,-0.03515625000000001
1.41,31,0.12109375,-4,-0.015625
1.42,6,0.0234375,-6,-0.0234375
1.44,4,0.015625,-4,-0.015625
1.46,-16,-0.0625,-4,-0.015625
1.48,-69,-0.26953125,-2,-0.0078125
1.5,-1,-0.00390625,5,0.01953125
1.52,10,0.0390625,2,0.0078125
1.54,-8,-0.03125,0,0.0
1.55,-21,-0.08203125,5,0.01953125
1.57,-42,-0.1640625,-3,-0.01171875
1.59,-11,-0.04296875,-1,-0.00390625
1.61,28,0.109375,0,0.0
1.63,17,0.06640625,0,0.0
1.65,0,0.0,6,0.0234375
1.67,-334,-1.3046875,-76,-0.296875
1.68,226,0.8828125,-40,-0.15625
1.7,-59,-0.23046875000000003,-33,-0.12890625
1.72,-114,-0.4453125,-25,-0.09765625
1.74,87,0.33984375000000006,-14,-0.0546875
1.76,39,0.15234375,-7,-0.02734375
1.78,-21,-0.08203125,-4,-0.015625
1.8,-33,-0.12890625,-2,-0.0078125
1.82,-17,-0.06640625,-1,-0.00390625
1.83,-16,-0.0625,0,0.0
1.85,-2,-0.0078125,0,0.0
1.87,3,0.01171875,0,0.0
1.89,0,0.0,0,0.0
1.91,2,0.0078125,-1,-0.00390625
1.93,-14,-0.0546875,0,0.0
1.95,-6,-0.0234375,-1,-0.00390625
1.96,5,0.01953125,-2,-0.0078125
1.98,9,0.03515625000000001,-8,-0.03125
2.0,-19,-0.07421875,12,0.046875
2.02,-61,-0.23828125,0,0.0
2.04,189,0.73828125,22,0.0859375
2.06,-6,-0.0234375,12,0.046875
2.08,-60,-0.234375,5,0.01953125
2.1,4,0.015625,4,0.015625
2.11,13,0.05078125000000001,2,0.0078125
2.13,-22,-0.0859375,1,0.00390625
2.15,-1,-0.00390625,0,0.0
2.17,-1,-0.00390625,0,0.0
2.19,7,0.02734375,0,0.0
2.21,-5,-0.01953125,1,0.00390625
2.23,-7,-0.02734375,0,0.0
2.25,-8,-0.03125,0,0.0
2.26,6,0.0234375,-1,-0.00390625
2.28,-1,-0.00390625,0,0.0
2.3,-3,-0.01171875,1,0.00390625
2.32,5,0.01953125,-1,-0.00390625
2.34,0,0.0,-3,-0.01171875
2.36,-100,-0.390625,7,0.02734375
2.38,41,0.16015625,3,0.01171875
2.39,-19,-0.07421875,2,0.0078125
2.41,-28,-0.109375,1,0.00390625
2.43,24,0.09375,0,0.0
2.45,1,0.00390625,0,0.0
2.47,-9,-0.03515625000000001,-1,-0.00390625
2.49,0,0.0,-1,-0.00390625
2.51,-1,-0.00390625,0,0.0
2.52,-6,-0.0234375,0,0.0
2.54,2,0.0078125,0,0.0
2.56,-8,-0.03125,-1,-0.00390625
2.58,-7,-0.02734375,-1,-0.00390625
2.6,1,0.00390625,-1,-0.00390625
2.62,-3,-0.01171875,0,0.0
2.64,5,0.01953125,0,0.0
2.65,-7,-0.02734375,-4,-0.015625
2.67,24,0.09375,-4,-0.015625
2.69,-4,-0.015625,-2,-0.0078125
2.71,7,0.02734375,0,0.0
2.73,-2,-0.0078125,0,0.0
2.75,-1,-0.00390625,0,0.0
2.77,3,0.01171875,0,0.0
2.78,1,0.00390625,0,0.0
2.8,-3,-0.01171875,0,0.0
2.82,-2,-0.0078125,0,0.0
2.84,-1,-0.00390625,0,0.0
2.86,0,0.0,0,0.0
2.88,0,0.0,-1,-0.00390625
2.9,1,0.00390625,-1,-0.00390625
2.91,-5,-0.01953125,0,0.0
2.93,-4,-0.015625,-1,-0.00390625
2.95,-1,-0.00390625,-1,-0.00390625
2.97,-1,-0.00390625,0,0.0
2.99,-3,-0.01171875,0,0.0
3.01,2,0.0078125,0,0.0
3.03,3,0.01171875,-1,-0.00390625
3.05,-1,-0.00390625,0,0.0
3.06,-2,-0.0078125,-1,-0.00390625
3.08,-120,-0.46875,19,0.07421875
3.1,88,0.34375,-78,-0.3046875
3.12,2,0.0078125,-66,-0.2578125
3.14,-18,-0.07031250000000001,-38,-0.1484375
3.16,18,0.07031250000000001,-21,-0.08203125
3.18,3,0.01171875,-9,-0.03515625000000001
3.19,9,0.03515625000000001,-5,-0.01953125
3.21,-10,-0.0390625,-3,-0.01171875
3.23,-18,-0.07031250000000001,-4,-0.015625
3.25,-17,-0.06640625,-4,-0.015625
3.27,1,0.00390625,-2,-0.0078125
3.29,4,0.015625,0,0.0
3.31,-4,-0.015625,0,0.0
3.32,1,0.00390625,0,0.0
3.34,-7,-0.02734375,0,0.0
3.36,7,0.02734375,1,0.00390625
3.38,0,0.0,0,0.0
3.4,1,0.00390625,0,0.0
3.42,-43,-0.16796875,-10,-0.0390625
3.44,-156,-0.609375,8,0.03125
3.45,200,0.78125,-7,-0.02734375
3.47,219,0.85546875,-6,-0.0234375
3.49,45,0.17578125,-1,-0.00390625
3.51,-7,-0.02734375,-2,-0.0078125
