time,V_adc_value,V_actual_value,H_adc_value,H_actual_value
0.0,-26,-0.10156250000000001,-1,-0.00390625
0.02,-1,-0.00390625,1,0.00390625
0.04,15,0.05859375,-1,-0.00390625
0.05,13,0.05078125000000001,-1,-0.00390625
0.07,4,0.015625,0,0.0
0.09,-5,-0.01953125,3,0.01171875
0.11,-47,-0.18359375,8,0.03125
0.13,-24,-0.09375,63,0.24609375
0.15,143,0.5585937500000001,8,0.03125
0.17,-16,-0.0625,3,0.01171875
0.19,-49,-0.19140625,-2,-0.0078125
0.21,6,0.0234375,-3,-0.01171875
0.23,21,0.08203125,-2,-0.0078125
0.24,1,0.00390625,-1,-0.00390625
0.26,-4,-0.015625,3,0.01171875
0.28,-15,-0.05859375,0,0.0
0.3,-5,-0.01953125,-2,-0.0078125
0.32,4,0.015625,-3,-0.01171875
0.34,-5,-0.01953125,-1,-0.00390625
0.36,-7,-0.02734375,-1,-0.00390625
0.38,-5,-0.01953125,-1,-0.00390625
0.4,-10,-0.0390625,-3,-0.01171875
0.41,-3,-0.01171875,-1,-0.00390625
0.44,-1,-0.00390625,-5,-0.01953125
0.45,-56,-0.21875,-19,-0.07421875
0.47,297,1.16015625,-2,-0.0078125
0.49,-4,-0.015625,-1,-0.00390625
0.51,-75,-0.29296875,-1,-0.00390625
0.53,4,0.015625,0,0.0
0.55,39,0.15234375,0,0.0
0.57,3,0.01171875,0,0.0
0.58,13,0.05078125000000001,0,0.0
0.6,-13,-0.05078125000000001,0,0.0
0.62,-4,-0.015625,0,0.0
0.64,0,0.0,0,0.0
0.66,-12,-0.046875,-1,-0.00390625
0.68,-7,-0.02734375,0,0.0
0.7,-1,-0.00390625,1,0.00390625
0.72,1,0.00390625,1,0.00390625
0.73,-4,-0.015625,0,0.0
0.75,4,0.015625,0,0.0
0.77,-2,-0.0078125,-1,-0.00390625
0.79,-3,-0.01171875,-3,-0.01171875
0.81,-18,-0.07031250000000001,2,0.0078125
0.83,13,0.05078125000000001,0,0.0
0.85,-3,-0.01171875,-1,-0.00390625
0.87,-1,-0.00390625,-1,-0.00390625
0.88,-14,-0.0546875,0,0.0
0.9,40,0.15625,-1,-0.00390625
0.92,-22,-0.0859375,0,0.0
0.94,-11,-0.04296875,-1,-0.00390625
0.96,2,0.0078125,0,0.0
0.98,5,0.01953125,0,0.0
1.0,0,0.0,0,0.0
1.02,-2,-0.0078125,0,0.0
1.03,1,0.00390625,0,0.0
1.05,0,0.0,-1,-0.00390625
1.07,-2,-0.0078125,0,0.0
1.09,-4,-0.015625,-1,-0.00390625
1.11,-6,-0.0234375,-1,-0.00390625
