time,V_adc_value,V_actual_value,H_adc_value,H_actual_value
0.0,-2,-0.0078125,-14,-0.0546875
0.01,10,0.0390625,-4,-0.015625
0.03,-16,-0.0625,3,0.01171875
0.05,-1,-0.00390625,3,0.01171875
0.07,13,0.05078125000000001,1,0.00390625
0.09,-8,-0.03125,0,0.0
0.11,-2,-0.0078125,0,0.0
0.13,-1,-0.00390625,0,0.0
0.15,-7,-0.02734375,0,0.0
0.17,-3,-0.01171875,1,0.00390625
0.18,-7,-0.02734375,0,0.0
0.2,0,0.0,0,0.0
0.22,-2,-0.0078125,0,0.0
0.24,0,0.0,-2,-0.0078125
0.26,6,0.0234375,-1,-0.00390625
0.28,-1,-0.00390625,0,0.0
0.3,-3,-0.01171875,-1,-0.00390625
0.31,-1,-0.00390625,0,0.0
0.33,-232,-0.90625,11,0.04296875
0.35,57,0.22265625,2,0.0078125
0.37,-22,-0.0859375,2,0.0078125
0.39,-19,-0.07421875,1,0.00390625
0.41,34,0.1328125,-1,-0.00390625
0.43,-3,-0.01171875,1,0.00390625
0.45,15,0.05859375,0,0.0
0.46,-16,-0.0625,0,0.0
0.48,-7,-0.02734375,-1,-0.00390625
0.5,-16,-0.0625,0,0.0
0.52,-15,-0.05859375,1,0.00390625
0.54,4,0.015625,0,0.0
0.56,-9,-0.03515625000000001,1,0.00390625
0.58,-9,-0.03515625000000001,0,0.0
0.59,-3,-0.01171875,0,0.0
0.61,6,0.0234375,0,0.0
0.63,3,0.01171875,0,0.0
0.65,2,0.0078125,0,0.0
0.67,-9,-0.03515625000000001,1,0.00390625
0.69,-348,-1.3593750000000002,-82,-0.3203125
0.71,57,0.22265625,30,0.1171875
0.72,-141,-0.55078125,32,0.125
0.74,44,0.171875,15,0.05859375
0.76,54,0.2109375,3,0.01171875
0.78,-5,-0.01953125,4,0.015625
0.8,39,0.15234375,2,0.0078125
0.82,3,0.01171875,0,0.0
0.84,-10,-0.0390625,-1,-0.00390625
0.85,-47,-0.18359375,0,0.0
0.87,-28,-0.109375,0,0.0
0.89,-3,-0.01171875,0,0.0
0.91,-17,-0.06640625,1,0.00390625
0.93,-47,-0.18359375,2,0.0078125
0.95,-23,-0.08984375,5,0.01953125
0.97,-4,-0.015625,0,0.0
0.99,17,0.06640625,1,0.00390625
1.0,11,0.04296875,1,0.00390625
1.02,8,0.03125,1,0.00390625
1.04,6,0.0234375,3,0.01171875
1.06,-257,-1.00390625,27,0.10546875
1.08,304,1.1875,38,0.1484375
1.1,-4,-0.015625,23,0.08984375
1.12,-133,-0.51953125,9,0.03515625000000001
1.13,85,0.33203125,5,0.01953125
1.15,-10,-0.0390625,5,0.01953125
1.17,5,0.01953125,3,0.01171875
1.19,1,0.00390625,1,0.00390625
1.21,6,0.0234375,0,0.0
1.23,-13,-0.05078125000000001,0,0.0
1.25,-16,-0.0625,1,0.00390625
1.27,-4,-0.015625,0,0.0
1.28,3,0.01171875,0,0.0
1.3,4,0.015625,0,0.0
1.32,-1,-0.00390625,0,0.0
1.34,-9,-0.03515625000000001,0,0.0
1.36,4,0.015625,0,0.0
1.38,2,0.0078125,0,0.0
1.39,-2,-0.0078125,-1,-0.00390625
1.41,3,0.01171875,0,0.0
1.43,2,0.0078125,0,0.0
1.45,-7,-0.02734375,8,0.03125
1.47,-47,-0.18359375,8,0.03125
1.49,150,0.5859375,9,0.03515625000000001
1.51,-41,-0.16015625,5,0.01953125
1.53,-24,-0.09375,3,0.01171875
1.54,-7,-0.02734375,1,0.00390625
1.56,24,0.09375,-1,-0.00390625
1.58,0,0.0,-1,-0.00390625
1.6,3,0.01171875,-1,-0.00390625
1.62,-8,-0.03125,-1,-0.00390625
1.64,-5,-0.01953125,-1,-0.00390625
1.66,0,0.0,-1,-0.00390625
1.67,-2,-0.0078125,0,0.0
1.69,-2,-0.0078125,0,0.0
1.71,0,0.0,-1,-0.00390625
1.73,-4,-0.015625,-1,-0.00390625
1.75,-8,-0.03125,-1,-0.00390625
1.77,8,0.03125,0,0.0
1.79,1,0.00390625,0,0.0
1.8,-2,-0.0078125,-1,-0.00390625
1.82,-2,-0.0078125,-1,-0.00390625
1.84,-1,-0.00390625,-7,-0.02734375
1.86,29,0.11328125,-5,-0.01953125
1.88,-16,-0.0625,-4,-0.015625
1.9,8,0.03125,-2,-0.0078125
1.92,7,0.02734375,-1,-0.00390625
1.94,4,0.015625,-1,-0.00390625
1.95,-4,-0.015625,-1,-0.00390625
1.97,-1,-0.00390625,0,0.0
1.99,5,0.01953125,0,0.0
2.01,-1,-0.00390625,0,0.0
2.03,-2,-0.0078125,0,0.0
2.05,-3,-0.01171875,-1,-0.00390625
2.07,-3,-0.01171875,0,0.0
2.08,-5,-0.01953125,-1,-0.00390625
2.1,-1,-0.00390625,0,0.0
2.12,-1,-0.00390625,0,0.0
2.14,1,0.00390625,0,0.0
2.16,-1,-0.00390625,0,0.0
2.18,-1,-0.00390625,0,0.0
2.2,0,0.0,0,0.0
2.21,0,0.0,0,0.0
2.23,-2,-0.0078125,-4,-0.015625
2.25,-28,-0.109375,-10,-0.0390625
2.27,99,0.38671875,-8,-0.03125
2.29,62,0.2421875,1,0.00390625
2.31,-12,-0.046875,0,0.0
2.33,8,0.03125,-1,-0.00390625
2.35,-1,-0.00390625,-1,-0.00390625
2.36,-4,-0.015625,-1,-0.00390625
2.38,2,0.0078125,-1,-0.00390625
2.4,-12,-0.046875,-2,-0.0078125
2.42,-8,-0.03125,-1,-0.00390625
